kaptName,doroJuso,Score,Pros,Cons,source_index
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,5.0,"경비실도 있고 건물관리가 아주 잘 됨. 근처에 중랑천이랑 경춘선숲길 등 산책할 수 있는 곳이 많고 집 바로 앞에 버스(심지어 공항버스까지), 지하철 6, 7호선이 있어 교통 측면에선 정말 좋음. 주변에 음식점도 있어서 외식하기 좋음. 저렴하고 벌레 안 나와서 너무 좋았음.","거주자가 주차장을 못 쓴다는 것이 좀 불편하지만 역세권 청년주택은 자차가 없는 것이 조건이기 때문에 크게 문제가 될 부분은 아님. 한 달에 24시간 주차권 두 장, 1시간 주차권 10장도 주는데 이건 손님 부르기 용인 듯함. 살면서 단점은 딱히 못 느낀 듯.",0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,4.0,"신축이라 쾌적하고 빌트인이에요.
엘리베이터가 2대라 편해요. 분리수거는 언제든 배출할 수 있습니다. 이중창이어서 단열이 잘 되는 편이라 보일러 틀고 나면 실내온도가 잘 안 내려 갑니다. 환풍기가 강력해서 화장실이 금방 건조 됩니다.",원룸형은 환기가 잘 안 됩니다. 보일러실이 좀 커서 침대 배치가 어려웠어요. 입주 시 보수해 준다던 부분이 아직 덜 보수 되었습니다. 여전히 기다리고 있어요. 마루 바닥이라 물건 떨어뜨리면 흠집 나기 쉬어요. 법이 바뀌어서 공동 인터넷이 아닙니다. 따로 인터넷 가입하셔야 해요.,0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,5.0,"공항버스, 6, 7호선 타기 진짜 좋은 위치입니다. 신축이라 내부도 깔끔하고, 집 컨디션은 좋은데 월세도 너무 좋은 가격입니다. 화장실도 깨끗하고 샤워실 분리 되어 있어 깔끔하게 사용할 수 있었습니다. 한 달에 한 번 무료주차권 주는 것도 장점입니다. 누워서 어플로 전등도 끌 수 있어용 간접조명도 최고","집이 깔끔해서 좋지만, 벽지랑 바닥이 잘 까져요. 바닥이 딱딱해서 슬리퍼 필수였습니다. 건조해서 가습기 있으면 좋을 것 같아요. 집이 건조한만큼 빨래가 잘 마르는 편입니다. 또 창가쪽에 침대를 두려면 주문제작해야 하는 점이 아쉬웠지만, 월세가 저렴해서 모든 부분을 커버할 수 있다고 생각합니다.",0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,4.0,"지어진지 4년된 신축 오피스텔이고 아주 깨끗해요. 주변에 맛집도 많고 편의점, 30초앞 태릉입구역 6,7호선 있고, 1층 맘스터치 2층 치과 등 인프라최고에요! 기본옵션도 잘되어있고 루프탑도 날좋은날 올라가기 좋습니다. ㅎㅎ 지내는동안 너무 좋았어요",고층은 옥상에서 타고내려온 바퀴벌레가 있다고 들었어요 ㅠㅠ 원룸은 층간소음도 심합니다. 기계식 주차도 좀 불편한 편이고 건물 관리해주시는 분들은 친절하신데 주차 업체는 불친절합니다..(하이파킹) 그리고 관리인원이 많은편이라 관리비도 비싼편이에요!,0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,4.0,"태릉입구 7.6호선 도보 5분
주위 산책로도 잘되어있습니다 방음도 좋고.. 만족해요 주변 청년주택 치고는 보증금이 그래도 낮은편이라 충분히 메리트 있다고 생각합니다. 주변에 공리단길로 식당이나 카페도 많고 위치 또한 매우 훌륭합니다.",단점은 주차가 기계식 주차라 큰 차는 불가능합니다. 이외에 단점은 딱히 없는 것 같습니다. 그나마 생각해보면 오피스텔이라 관리비가 조금 많이 나옵니다. 그리고 인터넷은 따로 통신사를 통해서 직접 계약해야되어서 불편함이 조금 존재합니다.,0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,5.0,"진정한 역세권이라고 할수 있는 집입니다. 태릉입구 4번출구에서 1분컷에 위치하고있습니다. 그리고 내부에 수납공간이 많아서 크기는 작지만 넓게 사용가능합니다. 몇년 살면서 벌레 본적 없어요. 주변에 이마트,롯데시네마,스타벅스 다 10분 거리 이내에 있어서 자취하기도 좋습니다.",방음은 확실히 잘 안되는거 같아요. 윗층 사시는분이 화장실을 가는지 어딜가는지 다 들려요. 그리고 옆집 에서 나오는 소음도 좀 잘 들리네요. 저는 원래 잘 신경 안써서 불편하진 않지만 예민하신 분들은 조금 힘들거같습니다. 그리고 대로변이 바로 앞은 아니지만 사거리가 있어서 새벽에 난폭하게 운전하시는 분들 차 소리가 잘 들려요. 여름에 창문 열고 자면 새벽까지 쌩쌩 지나가는 소리 잘들립니다.,0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,4.5,창문가에 침대 놨는데 추워 죽을 것 같진 않아요 샷시가 좋습니다 깨끗하고 내부 커뮤니티 공지도 활성화 잘되어있고 헬스장도 깨끗합니다 지하철역이 바로 앞에 있는게 가장 좋은데 공항버스 정류장이 바로 앞에 있는 것도 정말 좋습니다 조용하고 혼자 살 기 좋아요,굳이 꼽자면 밤에 다른세대 소리가 들리긴해요 근데 너무 시끄러워서 못참겠다 이런건 없었어요 이웃바이 이웃이겠지만 저는 그랬습니다 그리고 도로가에 있어서 빵빵 차소리 구급차소리는 꽤 들리는편입니다 그치만 창문 닫아놓으면 일반 차소리는 안들려요,0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,3.0,"일단 제일 좋은 건 생활편리함이에요. 역이랑 가까워서 너무 좋았어요. 걸어서 1분이면 지하철역 도착이라 겨울에도 덜 춥고 비오는 날도 크게 불편하지 않았어요. 그리고 주변에 카페나 음식점, 편의점이 다 몰려 있어서 생활하지 편했어요.","생활입지는 편한 점이 많지만 단점도 좀 있었어요. 제일 짜증났던 건 결로현상.. 겨울만 되면 창문에 물 맺히고 곰팡이가 펴요. 그리고 벽지도 들뜨구요. 그리고 층간소음도 심했어요. 위층, 옆층, 아래층 모든 방향에서 소음이 심해서 스트레스 받아서 나왔어요. 동네 소음도 심하구요. 앞에 큰 도로가 있어서 오토바이 소리나 경적음이 새벽에 들려 자다가 깹니다. 그리고 제일 단점은 오피스텔 임대인 측이 나갈 때 비용을 많이 청구해서 몇십 깨집니다. 조금이라도 긁혀있으면 돈 청구하니 조심해야 해요.",0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,4.0,"풀옵션이고 혼자 살기 딱 좋아요. 첫 입주라 매우 깔끔한 환경에서 지낼 수 있었어요. 1~2층에 카페, 맘스터치, 병원, 약국 등 있어서 편리해요. 주변에 공원, 시장 있어서 주말에 쉬기 좋고 맛집도 많이 생기고 있어요. 지하철도 2개나 있어서 어디든 가기 나쁘지 않아요","방음이 잘 안되는 편이에요. 특히 복도 소리는 매우 잘 들리고 화장실도 잘 들려요. 방 사이 소음은 저는 거의 듣지 못했지만, 주변 분들이 조용해서 그랬던 것 같아요. 소음 문제가 단톡방에서 끊임없이 나와요. 창이 하나라 환기가 잘 되는 편은 아니에요.",0
청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,3.0,"지하철역 출구와 버스정류장 바로 앞에 있어서 대중교통 접근성이 아주 좋음. 주변에 시장도 있고 공리단길, 중랑천, 철도공원 등 주변 생황입지가 좋아요. 마트도 걸어서 15분 가면 있고 밑에 1층에 약국, 카페, 치킨집이 있어서 생활하기 좋으네요","주차가 기계식이라 어느정도 제한은 있고 엘레베터도 세대수가 많다보니 배달이나 택배가 항상 다녀서 좀 기다려야함. 고층은 옥상에 화단 있어서 그런가 바선생 여름에 가끔 출몰 ㅠ 그리고 청년주택이라 좁은 평수로 다닥다닥 붙여놔서 벽간소음, 층간소음 스트레스가 좀 있음 ㅠㅠㅜ 마지막으로 집주인이 법인인데 dart 전자공시 들어가서 보면 재무상태가 좀 심각해서 불안함",0
